order_id,customer_id,product,amount,order_date
ORD-001,CUST-001,Laptop Pro 15,1299.99,2025-05-14
ORD-002,CUST-002,Wireless Mouse,29.99,2025-05-14
ORD-003,CUST-003,USB Hub 7-Port,49.99,2025-05-14
ORD-004,CUST-004,Monitor 27 4K,599.99,2025-05-14
ORD-005,CUST-005,Mechanical Keyboard,149.99,2025-05-14
ORD-006,CUST-001,Docking Station,299.99,2025-05-14
ORD-007,CUST-006,SSD 1TB NVMe,89.99,2025-05-14
ORD-008,CUST-007,Webcam HD 1080p,79.99,2025-05-14
ORD-009,CUST-008,Headset Pro,199.99,2025-05-14
ORD-010,CUST-002,HDMI 2.1 Cable,14.99,2025-05-14
ORD-011,,USB-C Charger 65W,39.99,2025-05-14
ORD-012,CUST-003,Monitor Stand,89.99,2025-05-14
ORD-013,CUST-004,Laptop Bag,69.99,2025-05-14
ORD-014,CUST-005,Tablet Pro 11,899.99,2025-05-14
ORD-015,CUST-006,Smart Speaker,129.99,2025-05-14
ORD-016,CUST-007,Power Bank 20000mAh,49.99,2025-05-14
ORD-017,CUST-008,Cable Organizer Kit,19.99,2025-05-14
ORD-018,CUST-001,Ergonomic Chair,799.99,2025-05-14
,CUST-002,Gaming Mouse RGB,59.99,2025-05-14
ORD-020,CUST-003,LED Desk Lamp,34.99,2025-05-14
